match_id,match_date,stage,home_team,away_team,home_goals,away_goals,target,home_country,away_country
523996,2024-12-11 20:00:00+00:00,LEAGUE_STAGE,Juventus FC,Manchester City FC,2,0,2,Italy,England
524015,2024-12-11 20:00:00+00:00,LEAGUE_STAGE,Feyenoord Rotterdam,AC Sparta Praha,4,2,2,Netherlands,Czech Republic
524074,2024-12-11 20:00:00+00:00,LEAGUE_STAGE,VfB Stuttgart,BSC Young Boys,5,1,2,Germany,Switzerland
524043,2025-01-21 17:45:00+00:00,LEAGUE_STAGE,AS Monaco FC,Aston Villa FC,1,0,2,Monaco,England
523975,2025-01-21 17:45:00+00:00,LEAGUE_STAGE,Atalanta BC,SK Sturm Graz,5,0,2,Italy,Austria
524030,2025-01-21 20:00:00+00:00,LEAGUE_STAGE,FK Crvena Zvezda,PSV,2,3,0,Serbia,Netherlands
523989,2025-01-21 20:00:00+00:00,LEAGUE_STAGE,Club Brugge KV,Juventus FC,0,0,1,Belgium,Italy
523977,2025-01-21 20:00:00+00:00,LEAGUE_STAGE,Club Atlético de Madrid,Bayer 04 Leverkusen,2,1,2,Spain,Germany
523946,2025-01-21 20:00:00+00:00,LEAGUE_STAGE,Liverpool FC,Lille OSC,2,1,2,England,France
524048,2025-01-21 20:00:00+00:00,LEAGUE_STAGE,Bologna FC 1909,Borussia Dortmund,2,1,2,Italy,Germany
523984,2025-01-21 20:00:00+00:00,LEAGUE_STAGE,Sport Lisboa e Benfica,FC Barcelona,4,5,0,Portugal,Spain
524059,2025-01-21 20:00:00+00:00,LEAGUE_STAGE,ŠK Slovan Bratislava,VfB Stuttgart,1,3,0,Slovakia,Germany
523962,2025-01-22 17:45:00+00:00,LEAGUE_STAGE,RB Leipzig,Sporting Clube de Portugal,2,1,2,Germany,Portugal
524003,2025-01-22 17:45:00+00:00,LEAGUE_STAGE,FK Shakhtar Donetsk,Stade Brestois 29,2,0,2,Ukraine,France
524060,2025-01-22 20:00:00+00:00,LEAGUE_STAGE,AC Sparta Praha,FC Internazionale Milano,0,1,0,Czech Republic,Italy
523956,2025-01-22 20:00:00+00:00,LEAGUE_STAGE,Paris Saint-Germain FC,Manchester City FC,4,2,2,France,England
523966,2025-01-22 20:00:00+00:00,LEAGUE_STAGE,Real Madrid CF,FC Red Bull Salzburg,5,1,2,Spain,Austria
523971,2025-01-22 20:00:00+00:00,LEAGUE_STAGE,AC Milan,Girona FC,1,0,2,Italy,Spain
524012,2025-01-22 20:00:00+00:00,LEAGUE_STAGE,Feyenoord Rotterdam,FC Bayern München,3,0,2,Netherlands,Germany
524006,2025-01-22 20:00:00+00:00,LEAGUE_STAGE,Celtic FC,BSC Young Boys,1,0,2,Scotland,Switzerland
523994,2025-01-22 20:00:00+00:00,LEAGUE_STAGE,Arsenal FC,GNK Dinamo Zagreb,3,0,2,England,Croatia
524035,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,Sporting Clube de Portugal,Bologna FC 1909,1,1,1,Portugal,Italy
524025,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,FC Red Bull Salzburg,Club Atlético de Madrid,1,4,0,Austria,Spain
524020,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,PSV,Liverpool FC,3,2,2,Netherlands,England
524018,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,Lille OSC,Feyenoord Rotterdam,6,1,2,France,Netherlands
524009,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,GNK Dinamo Zagreb,AC Milan,2,1,2,Croatia,Italy
523997,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,Juventus FC,Sport Lisboa e Benfica,0,2,0,Italy,Portugal
523983,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,Bayer 04 Leverkusen,AC Sparta Praha,2,0,2,Germany,Czech Republic
523953,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,Manchester City FC,Club Brugge KV,3,1,2,England,Belgium
524038,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,BSC Young Boys,FK Crvena Zvezda,0,1,0,Switzerland,Serbia
523941,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,FC Barcelona,Atalanta BC,2,2,1,Spain,Italy
523951,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,FC Internazionale Milano,AS Monaco FC,3,0,2,Italy,Monaco
524053,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,Girona FC,Arsenal FC,1,2,0,Spain,England
524064,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,Stade Brestois 29,Real Madrid CF,0,3,0,France,Spain
524046,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,Aston Villa FC,Celtic FC,4,2,2,England,Scotland
524072,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,VfB Stuttgart,Paris Saint-Germain FC,1,4,0,Germany,France
523935,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,FC Bayern München,ŠK Slovan Bratislava,3,1,2,Germany,Slovakia
524068,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,SK Sturm Graz,RB Leipzig,1,0,2,Austria,Germany
523937,2025-01-29 20:00:00+00:00,LEAGUE_STAGE,Borussia Dortmund,FK Shakhtar Donetsk,3,1,2,Germany,Ukraine
524076,2025-02-11 17:45:00+00:00,PLAYOFFS,Stade Brestois 29,Paris Saint-Germain FC,0,3,0,France,France
524082,2025-02-11 20:00:00+00:00,PLAYOFFS,Sporting Clube de Portugal,Borussia Dortmund,0,3,0,Portugal,Germany
524077,2025-02-11 20:00:00+00:00,PLAYOFFS,Manchester City FC,Real Madrid CF,2,3,0,England,Spain
524081,2025-02-11 20:00:00+00:00,PLAYOFFS,Juventus FC,PSV,2,1,2,Italy,Netherlands
524080,2025-02-12 17:45:00+00:00,PLAYOFFS,Club Brugge KV,Atalanta BC,2,1,2,Belgium,Italy
524078,2025-02-12 20:00:00+00:00,PLAYOFFS,AS Monaco FC,Sport Lisboa e Benfica,0,1,0,Monaco,Portugal
524083,2025-02-12 20:00:00+00:00,PLAYOFFS,Feyenoord Rotterdam,AC Milan,1,0,2,Netherlands,Italy
524079,2025-02-12 20:00:00+00:00,PLAYOFFS,Celtic FC,FC Bayern München,1,2,0,Scotland,Germany
524091,2025-02-18 17:45:00+00:00,PLAYOFFS,AC Milan,Feyenoord Rotterdam,1,1,1,Italy,Netherlands
524086,2025-02-18 20:00:00+00:00,PLAYOFFS,Sport Lisboa e Benfica,AS Monaco FC,3,3,1,Portugal,Monaco
524087,2025-02-18 20:00:00+00:00,PLAYOFFS,FC Bayern München,Celtic FC,1,1,1,Germany,Scotland
524088,2025-02-18 20:00:00+00:00,PLAYOFFS,Atalanta BC,Club Brugge KV,1,3,0,Italy,Belgium
524090,2025-02-19 17:45:00+00:00,PLAYOFFS,Borussia Dortmund,Sporting Clube de Portugal,0,0,1,Germany,Portugal
524085,2025-02-19 20:00:00+00:00,PLAYOFFS,Real Madrid CF,Manchester City FC,3,1,2,Spain,England
524089,2025-02-19 20:00:00+00:00,PLAYOFFS,PSV,Juventus FC,3,1,2,Netherlands,Italy
524084,2025-02-19 20:00:00+00:00,PLAYOFFS,Paris Saint-Germain FC,Stade Brestois 29,7,0,2,France,France
524093,2025-03-04 17:45:00+00:00,LAST_16,Club Brugge KV,Aston Villa FC,1,3,0,Belgium,England
524098,2025-03-04 20:00:00+00:00,LAST_16,Borussia Dortmund,Lille OSC,1,1,1,Germany,France
524095,2025-03-04 20:00:00+00:00,LAST_16,PSV,Arsenal FC,1,7,0,Netherlands,England
524094,2025-03-04 20:00:00+00:00,LAST_16,Real Madrid CF,Club Atlético de Madrid,2,1,2,Spain,Spain
524096,2025-03-05 17:45:00+00:00,LAST_16,Feyenoord Rotterdam,FC Internazionale Milano,0,2,0,Netherlands,Italy
524092,2025-03-05 20:00:00+00:00,LAST_16,Paris Saint-Germain FC,Liverpool FC,0,1,0,France,England
524097,2025-03-05 20:00:00+00:00,LAST_16,FC Bayern München,Bayer 04 Leverkusen,3,0,2,Germany,Germany
524099,2025-03-05 20:00:00+00:00,LAST_16,Sport Lisboa e Benfica,FC Barcelona,0,1,0,Portugal,Spain
524107,2025-03-11 17:45:00+00:00,LAST_16,FC Barcelona,Sport Lisboa e Benfica,3,1,2,Spain,Portugal
524100,2025-03-11 20:00:00+00:00,LAST_16,Liverpool FC,Paris Saint-Germain FC,1,5,0,England,France
524104,2025-03-11 20:00:00+00:00,LAST_16,FC Internazionale Milano,Feyenoord Rotterdam,2,1,2,Italy,Netherlands
524105,2025-03-11 20:00:00+00:00,LAST_16,Bayer 04 Leverkusen,FC Bayern München,0,2,0,Germany,Germany
524106,2025-03-12 17:45:00+00:00,LAST_16,Lille OSC,Borussia Dortmund,1,2,0,France,Germany
524103,2025-03-12 20:00:00+00:00,LAST_16,Arsenal FC,PSV,2,2,1,England,Netherlands
524101,2025-03-12 20:00:00+00:00,LAST_16,Aston Villa FC,Club Brugge KV,3,0,2,England,Belgium
524102,2025-03-12 20:00:00+00:00,LAST_16,Club Atlético de Madrid,Real Madrid CF,3,4,0,Spain,Spain
524108,2025-04-08 19:00:00+00:00,QUARTER_FINALS,Arsenal FC,Real Madrid CF,3,0,2,England,Spain
524111,2025-04-08 19:00:00+00:00,QUARTER_FINALS,FC Bayern München,FC Internazionale Milano,1,2,0,Germany,Italy
524109,2025-04-09 19:00:00+00:00,QUARTER_FINALS,Paris Saint-Germain FC,Aston Villa FC,3,1,2,France,England
524110,2025-04-09 19:00:00+00:00,QUARTER_FINALS,FC Barcelona,Borussia Dortmund,4,0,2,Spain,Germany
524113,2025-04-15 19:00:00+00:00,QUARTER_FINALS,Aston Villa FC,Paris Saint-Germain FC,3,2,2,England,France
524114,2025-04-15 19:00:00+00:00,QUARTER_FINALS,Borussia Dortmund,FC Barcelona,3,1,2,Germany,Spain
524112,2025-04-16 19:00:00+00:00,QUARTER_FINALS,Real Madrid CF,Arsenal FC,1,2,0,Spain,England
524115,2025-04-16 19:00:00+00:00,QUARTER_FINALS,FC Internazionale Milano,FC Bayern München,2,2,1,Italy,Germany
524116,2025-04-29 19:00:00+00:00,SEMI_FINALS,Arsenal FC,Paris Saint-Germain FC,0,1,0,England,France
524117,2025-04-30 19:00:00+00:00,SEMI_FINALS,FC Barcelona,FC Internazionale Milano,3,3,1,Spain,Italy
524119,2025-05-06 19:00:00+00:00,SEMI_FINALS,FC Internazionale Milano,FC Barcelona,4,3,2,Italy,Spain
524118,2025-05-07 19:00:00+00:00,SEMI_FINALS,Paris Saint-Germain FC,Arsenal FC,2,1,2,France,England
524120,2025-05-31 19:00:00+00:00,FINAL,Paris Saint-Germain FC,FC Internazionale Milano,5,0,2,France,Italy
551981,2025-09-16 16:45:00+00:00,LEAGUE_STAGE,Athletic Club,Arsenal FC,0,2,0,Spain,England
552049,2025-09-16 16:45:00+00:00,LEAGUE_STAGE,PSV,Royale Union Saint-Gilloise,1,3,0,Netherlands,Belgium
551941,2025-09-16 19:00:00+00:00,LEAGUE_STAGE,Juventus FC,Borussia Dortmund,4,4,1,Italy,Germany
551991,2025-09-16 19:00:00+00:00,LEAGUE_STAGE,Sport Lisboa e Benfica,Qarabağ Ağdam FK,2,3,0,Portugal,Azerbaijan
551927,2025-09-16 19:00:00+00:00,LEAGUE_STAGE,Real Madrid CF,Olympique de Marseille,2,1,2,Spain,France
552012,2025-09-16 19:00:00+00:00,LEAGUE_STAGE,Tottenham Hotspur FC,Villarreal CF,1,0,2,England,Spain
552023,2025-09-17 16:45:00+00:00,LEAGUE_STAGE,SK Slavia Praha,FK Bodø/Glimt,2,2,1,Czech Republic,Norway
552031,2025-09-17 16:45:00+00:00,LEAGUE_STAGE,PAE Olympiakos SFP,Paphos FC,0,0,1,Greece,Cyprus
551946,2025-09-17 19:00:00+00:00,LEAGUE_STAGE,Liverpool FC,Club Atlético de Madrid,3,2,2,England,Spain
551959,2025-09-17 19:00:00+00:00,LEAGUE_STAGE,Paris Saint-Germain FC,Atalanta BC,4,0,2,France,Italy
